,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI Jan,Ave GHI Jan,Ave Lat Tilt Jan,Ave DNI Aug,Ave GHI Aug,Ave Lat Tilt Aug
115,Saint-Gabriel,46.3,-73.38,28.89,6.0,18.0,2.28,CA,1596307481.0,,,,,,
116,Pontiac,42.64,-83.29,26.67,54.0,90.0,4.1,US,1596307481.0,2.2,1.6,2.78,4.35,5.2,5.35
117,Paris,48.85,2.35,27.22,50.0,20.0,4.1,FR,1596307372.0,,,,,,
118,Madison,34.73,-86.57,28.33,74.0,90.0,5.7,US,1596307206.0,3.34,2.35,3.67,4.67,5.71,5.73
119,Excelsior Springs,39.34,-94.23,27.78,44.0,40.0,4.1,US,1596307288.0,3.5,2.13,3.76,5.4,5.69,5.82
120,Fort Morgan,40.25,-103.8,32.0,18.0,40.0,2.1,US,1596307482.0,4.2,2.31,4.29,7.13,6.5,6.74
121,Lock Haven,41.14,-77.45,29.0,39.0,20.0,2.6,US,1596307482.0,2.98,1.9,3.4,3.89,5.05,5.15
122,Dickinson,29.46,-95.05,29.44,83.0,90.0,2.04,US,1596307482.0,3.47,2.8,3.92,4.75,5.76,5.68
123,Longview,32.5,-94.74,30.56,45.0,1.0,2.6,US,1596307482.0,3.8,2.63,3.98,5.67,6.17,6.17
124,Saint Augustine,29.89,-81.31,35.0,70.0,1.0,5.7,US,1596307482.0,4.79,3.29,4.86,4.49,5.61,5.57
125,La Santisima Trinidad,-14.83,-64.9,31.0,48.0,20.0,2.1,BO,1596307483.0,,,,,,
126,Mt. Pleasant,32.79,-79.86,35.56,63.0,1.0,6.7,US,1596307237.0,4.34,2.89,4.48,4.6,5.68,5.69
127,Green River,41.53,-109.47,29.0,17.0,1.0,3.1,US,1596307483.0,3.83,2.02,3.87,7.72,6.4,6.59
128,Peoria,40.77,-89.77,26.67,57.0,1.0,4.1,US,1596307368.0,2.58,1.78,3.05,4.9,5.44,5.6
129,Pendleton,45.67,-118.79,28.33,28.0,1.0,5.1,US,1596307483.0,2.12,1.25,2.43,7.58,6.45,6.94
130,Moctezuma,29.8,-109.67,34.87,45.0,0.0,0.93,MX,1596307483.0,,,,,,
131,Socorro,31.65,-106.3,34.0,33.0,5.0,2.3,US,1596307205.0,6.79,3.79,6.06,6.73,6.66,6.64
132,Eatonton,33.33,-83.39,35.56,49.0,22.0,0.89,US,1596307484.0,4.29,2.8,4.38,4.54,5.68,5.68
133,Mapimí,25.82,-103.85,29.44,51.0,75.0,3.1,MX,1596307484.0,,,,,,
134,Monclova,26.9,-101.42,29.0,51.0,40.0,3.42,MX,1596307484.0,,,,,,
135,North Bend,43.41,-124.22,24.44,82.0,40.0,4.1,US,1596307383.0,2.07,1.39,2.48,5.19,5.59,5.84
136,Manitouwadge,49.12,-85.84,20.0,68.0,75.0,2.1,CA,1596307484.0,,,,,,
137,Sunbury,-37.58,144.73,9.0,81.0,0.0,10.3,AU,1596307484.0,,,,,,
138,West Plains,36.73,-91.85,26.0,61.0,40.0,5.7,US,1596307484.0,3.43,2.28,3.74,5.53,5.97,6.06
139,Raton,36.9,-104.44,28.89,24.0,1.0,4.6,US,1596307485.0,5.94,2.94,5.33,6.92,6.4,6.49
140,Panabá,21.28,-88.27,33.88,51.0,2.0,3.93,MX,1596307485.0,,,,,,
141,Rawlins,41.79,-107.24,28.0,18.0,1.0,2.1,US,1596307485.0,3.29,1.81,3.4,7.36,6.35,6.56
142,Arrondissement de Clermont,49.5,2.42,24.0,50.0,7.0,5.7,FR,1596307485.0,,,,,,
143,Marquette,46.53,-87.63,26.11,55.0,0.0,1.34,US,1596307255.0,3.02,1.49,3.24,4.97,5.15,5.4
144,Natchitoches,31.77,-93.13,30.0,66.0,90.0,2.61,US,1596307485.0,3.6,2.61,3.85,5.12,5.98,5.97
145,Beatrice,40.27,-96.75,27.0,57.0,1.0,3.6,US,1596307220.0,3.6,2.1,3.82,5.66,5.83,6.0
146,Price,39.6,-110.81,32.0,13.0,1.0,4.1,US,1596307435.0,4.35,2.33,4.29,6.8,6.13,6.21
147,Albany,42.6,-73.97,32.78,35.0,90.0,0.95,US,1596307486.0,3.42,1.89,3.66,4.46,5.14,5.29
148,Sanford,28.8,-81.27,35.0,46.0,1.0,4.6,US,1596307371.0,4.93,3.45,4.99,4.39,5.55,5.48
149,Fort Smith,35.39,-94.4,29.44,39.0,1.0,3.6,US,1596307486.0,3.66,2.43,3.91,5.86,6.09,6.15
150,Morgan City,29.7,-91.21,32.78,66.0,75.0,3.1,US,1596307486.0,3.88,2.94,4.19,4.43,5.56,5.51
151,Winnipeg,49.88,-97.15,24.0,53.0,75.0,6.2,CA,1596307163.0,,,,,,
152,Susanville,40.42,-120.65,28.89,12.0,1.0,2.1,US,1596307486.0,4.16,2.18,4.12,9.13,7.22,7.49
153,Bolivar,37.61,-93.41,25.56,64.0,93.0,3.15,US,1596307371.0,3.27,2.2,3.65,5.58,5.91,6.01
154,Santa Rosalía,27.32,-112.28,30.68,61.0,15.0,2.58,MX,1596307487.0,,,,,,
155,Galt,38.25,-121.3,28.33,49.0,0.0,2.68,US,1596307487.0,2.28,1.92,3.01,8.14,7.14,7.37
156,Badiraguato,25.37,-107.52,35.56,66.0,0.0,0.45,MX,1596307487.0,,,,,,
157,Selma,36.57,-119.61,30.56,33.0,1.0,1.72,US,1596307487.0,2.35,2.1,3.17,8.18,7.21,7.37
158,San Fernando,15.03,120.69,26.0,94.0,90.0,1.5,PH,1596307487.0,,,,,,
159,Evanston,42.04,-87.69,26.67,61.0,20.0,4.1,US,1596307488.0,2.71,1.77,3.18,4.39,5.21,5.38
160,Ocean City,39.28,-74.57,30.56,58.0,1.0,3.6,US,1596307306.0,3.41,2.11,3.7,4.76,5.56,5.69
161,Wharton,29.31,-96.1,30.0,58.0,75.0,1.64,US,1596307257.0,3.51,2.8,3.92,4.93,5.88,5.81
162,Ardmore,34.17,-97.14,29.44,48.0,75.0,3.05,US,1596307488.0,4.25,2.71,4.33,6.19,6.26,6.29
163,Albert Lea,43.65,-93.37,27.0,47.0,40.0,0.96,US,1596307388.0,2.23,1.48,2.69,5.05,5.36,5.59
164,Rock Springs,41.59,-109.2,29.0,17.0,1.0,3.1,US,1596307488.0,3.87,2.04,3.92,7.56,6.33,6.52
165,Glendive,47.11,-104.71,27.22,57.0,40.0,2.6,US,1596307488.0,2.82,1.37,3.01,6.97,6.06,6.55
166,Fallon,39.47,-118.78,33.33,8.0,20.0,3.1,US,1596307489.0,4.81,2.42,4.56,9.26,7.27,7.48
