,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
192,Pacifica,37.61,-122.49,15.0,87.0,40.0,7.2,US,1596171304.0,3.84,3.84,3.84
193,Tesistán,20.78,-103.48,17.78,90.0,100.0,1.34,MX,1596171304.0,,,
194,Clovis,36.83,-119.7,33.0,27.0,1.0,5.1,US,1596170636.0,5.98,5.98,5.98
195,Rodolfo Sánchez Taboada,31.72,-116.57,18.89,92.0,1.0,0.45,MX,1596171304.0,,,
196,Ensley,30.52,-87.27,28.33,78.0,1.0,3.6,US,1596171304.0,4.57,4.57,4.57
197,Hastings,50.86,0.57,20.56,73.0,0.0,0.89,GB,1596171304.0,,,
198,Fortuna Foothills,32.66,-114.41,39.0,39.0,1.0,5.1,US,1596171304.0,7.67,7.67,7.67
199,Thunder Bay,48.4,-89.32,17.22,87.0,5.0,2.1,CA,1596171190.0,,,
200,Sain Alto,23.58,-103.25,16.06,85.0,100.0,3.41,MX,1596171305.0,,,
201,Enumclaw,47.2,-121.99,25.56,68.0,0.0,1.49,US,1596171305.0,2.92,2.92,2.92
202,Hoquiam,46.98,-123.89,16.11,93.0,20.0,6.2,US,1596171305.0,2.89,2.89,2.89
203,Simcoe,42.83,-80.3,16.67,88.0,76.0,3.87,CA,1596171305.0,,,
204,Selma,36.57,-119.61,33.0,37.0,1.0,2.71,US,1596171305.0,5.98,5.98,5.98
205,Lebanon,36.21,-86.29,26.0,88.0,75.0,2.1,US,1596171108.0,4.03,4.03,4.03
206,Fallon,39.47,-118.78,31.0,14.0,1.0,4.1,US,1596171306.0,7.18,7.18,7.18
207,Urbana,40.11,-88.21,21.0,83.0,1.0,3.6,US,1596171015.0,4.01,4.01,4.01
208,Lethbridge,49.7,-112.82,23.33,73.0,40.0,3.1,CA,1596171069.0,,,
209,Gonzalez,30.58,-87.29,28.0,78.0,1.0,3.6,US,1596171306.0,4.57,4.57,4.57
210,Ruidoso,33.33,-105.67,24.0,33.0,1.0,6.7,US,1596170741.0,6.98,6.98,6.98
211,Magalia,39.81,-121.58,31.0,25.0,1.0,2.1,US,1596171306.0,6.2,6.2,6.2
212,Rosarito,32.33,-117.03,21.11,77.0,20.0,2.6,MX,1596171306.0,,,
